Date;mm
Saturday 26Nov-22;24,0
Sunday 27Nov-22;30,0
Tuesday 06Dec-22;16,0
Wednesday 07Dec-22;23,0
Friday 09Dec-22;3,8
Monday 12Dec-22;10,0
Tuesday 13Dec-22;22,0
Saturday 17Dec-22;32,0
Sunday 18Dec-22;5,0
Wednesday 21Dec-22;2,2
Thursday 22Dec-22;35,0
Monday 26Dec-22;2,0
Friday 30Dec-22;5,5
Saturday 31Dec-22;15,0
Friday 06Jan-23;11,0
Friday 20Jan-23;12,2
Monday 30Jan-23;11,8
Tuesday 31Jan-23;12,8
Tuesday 31Jan-23;70,0
Wednesday 01Feb-23;5,0
Friday 03Feb-23;28,0
Saturday 04Feb-23;60,0
Thursday 09Feb-23;3,0
Friday 10Feb-23;42,0
Saturday 11Feb-23;88,0
Sunday 12Feb-23;14,0
Monday 13Feb-23;21,0
Tuesday 14Feb-23;28,0
Wednesday 15Feb-23;14,0
Thursday 16Feb-23;1,2
Monday 20Feb-23;10,0
Tuesday 21Feb-23;8,0
Saturday 04Mar-23;4,5
Sunday 26Mar-23;16,0
Monday 27Mar-23;13,0
Friday 31Mar-23;10,0
Monday 03Apr-23;2,0
Tuesday 11Apr-23;32,0
Saturday 29Apr-23;6,0
Friday 05May-23;10,0
Monday 08May-23;30,0
Tuesday 09May-23;20,0
Sunday 14May-23;1,8
Monday 15May-23;10,0
Tuesday 16May-23;28,0
Wednesday 17May-23;18,0
Thursday 18May-23;8,0
Friday 19May-23;13,0
Tuesday 30May-23;5,8
Thursday 29Jun-23;12,0
Tuesday 11Jul-23;3,0
Thursday 28Sept-23;22,0
Monday 16Oct-23;16,0
Sunday 29Oct-23;1,0
Monday 30Oct-23;2,5
Tuesday 31Oct-23;10,0
Wednesday 01Nov-23;17,0
Wednesday 08Nov-23;46,0
Monday 13Nov-23;24,0
Tuesday 14Nov-23;11,0
Tuesday 21Nov-23;9,0
Wednesday 22Nov-23;4,0
Tuesday 28Nov-23;10,0
Thursday 07Dec-23;1,2
Saturday 09Dec-23;6,5
Monday 11Dec-23;9,0
Tuesday 12Dec-23;21,0
Saturday 16Dec-23;30,0
Tuesday 19Dec-23;2,0
Tuesday 26Dec-23;50,0
Wednesday 27Dec-23;20,0
Friday 29Dec-23;8,0
Saturday 06Jan-24;2,5
Sunday 07Jan-24;3,0
Monday 08Jan-24;8,0
Wednesday 10Jan-24;4,0
